Serial No,movie_id,movie_name,year,genre,overview,director,cast,poster_url,rating,votes
2495,tt1105709,8 x 10 Tasveer,2009,"Action, Crime, Drama",A forest ranger with the ability to visit the past by looking at photographs attempts to solve the mystery behind his father's sudden death.,Nagesh Kukunoor,"Akshay Kumar, Ayesha Takia, Jaaved Jaaferi",https://m.media-amazon.com/images/M/MV5BZGE0OTcyOGEtNjdlMS00ZjEzLThmN2MtNDVmMzQxMzc5NGM1XkEyXkFqcGc@._V1_SX300.jpg,5.4,6071
2496,tt2844724,Ek Ajooba,2000,Family,"When Chitra fails to come first in her class despite studying hard, Guruji, the family friend, gives her some holy ash saying that it will help achieve her goals.",Sunil Advani,"Meghna Erande, Harsh Lunia, Amrish Puri",https://m.media-amazon.com/images/M/MV5BMzkzMzM1NmQtNDFkMi00NDEyLWFhNGMtNDM2NDk4NDI0NTMxXkEyXkFqcGc@._V1_SX300.jpg,6.0,19
2497,tt0056805,Aaj Aur Kal,1963,"Drama, Romance",An over-bearing oppressive emperor continues to preside over a region in post-independent India along with his subdued children.,Vasant Joglekar,"Ashok Kumar, Sunil Dutt, Nanda Karnataki",https://m.media-amazon.com/images/M/MV5BMTI2ZDJlNWMtOWZhZS00ZDM2LWE2YjItNzNmNDI2YTkwZWM1XkEyXkFqcGdeQXVyNDQ0ODI2MQ@@._V1_SX300.jpg,6.6,65
2498,tt0381324,Khooni Mahal,1987,Horror,"After years of burial, a monster is accidentally set free by a group of people which leads to disastrous sequence of incidents.",Mohan Bhakri,"Raj Kiran, Shoma Anand, Javed Khan",https://m.media-amazon.com/images/M/MV5BN2M3ZjIwNTYtMDFkZC00MDAwLWJjMzMtMmExM2VmYTlkMjU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,6.0,49
2499,tt0158356,Warrant,1975,"Action, Thriller","During a jail riot instigated by convict Jaggu (Joginder), the Jailer, Arun Mehra's (Dev Anand) life is threatened and another convict, Dinesh (Satish Kaul), risks his life to save Arun. Arun and his mother, Mrs. Mehra (Sulochana)...",Pramod Chakravorty,"Dev Anand, Zeenat Aman, Pran Sikand",https://m.media-amazon.com/images/M/MV5BN2Y2YWUzMmYtNGMyMC00YzQyLWJjZmUtMjk4MzUyNGQ4NDI3XkEyXkFqcGdeQXVyNDQwOTAzNw@@._V1_SX300.jpg,6.2,121
2500,tt0135621,Rakshak,1996,"Action, Thriller",ASP Raj Sinha is assign with the task of bringing to justice the people who are responsible for printing and circulating fake currency notes. Raj is shocked when he learn that the leader behind this crime is none other than his ch...,Ashok Honda,"Suniel Shetty, Karisma Kapoor, Sonali Bendre",https://m.media-amazon.com/images/M/MV5BOGY1MmE0YWEtZjAxZi00MDdjLWEzNGQtOTkxNzYwNmRmMWVkXkEyXkFqcGdeQXVyMjU4NDY1ODA@._V1_SX300.jpg,5.1,399
2501,tt3483612,Hamari Adhuri Kahani,2015,"Drama, Romance","A single mother finds solace with a wealthy, but lonely hotel magnate, together they find love until her past comes back to confront her.",Mohit Suri,"Emraan Hashmi, Vidya Balan, Rajkummar Rao",https://m.media-amazon.com/images/M/MV5BYWIzM2E5YTItNzZmYi00ODVlLTgyNTEtNTZjZjUwYWUzNzUxXkEyXkFqcGc@._V1_SX300.jpg,6.7,6991
2502,tt0137954,Milap,1955,"Comedy, Drama",Not Available,Raj Khosla,"Dev Anand, Geeta Bali, K.N. Singh",https://m.media-amazon.com/images/M/MV5BZDkxMjA4ZWMtNWM2ZS00ZWJlLWExYmItMjY5ZmI3ZmEwNThmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,8.0,20
2503,tt0156593,Hariyali Aur Rasta,1962,"Musical, Drama, Romance","Shanker and Rita's marriage is finalized by their elders in their childhoods, however, after growing up, Shanker loves Shobna. Shanker is told to marry Rita instead, and he does so. The marriage is rocky as Rita does not pay atten...",Vijay Bhatt,"Manoj Kumar, Mala Sinha, Shashikala Jawalkar",https://m.media-amazon.com/images/M/MV5BODI1Y2VhNjktZTM0MC00NzZiLWI4YTUtMGJlMjg1MDIyOGFjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,7.0,90
2504,tt0363740,Khooni Murdaa,1989,Horror,"After accidentally killed by some college students, an obsessive lover returns as a living dead and starts killing them one by one.",Mohan Bhakri,"Deepak Parashar, Javed Khan, Sripradha",https://m.media-amazon.com/images/M/MV5BM2M3MWVjOTEtMWQ1Yi00OWI5LWI4ZTQtMjIwODFmMDdhN2UyXkEyXkFqcGdeQXVyOTYyMTM3OTU@._V1_SX300.jpg,3.8,52
2505,tt0072870,Dharam Karam,1975,"Family, Drama","Shankar is a hoodlum who lives in a shanty hut with his pregnant wife, Kanta, and makes a living as a career criminal. He prays to Lord Shiv that if he is blessed with a male child, he will ensure that the child does not take to h...",Randhir Kapoor,"Raj Kapoor, Randhir Kapoor, Rekha",https://m.media-amazon.com/images/M/MV5BNzc2MTM0MDIyNF5BMl5BanBnXkFtZTcwMTgxNTkwNA@@._V1_SX300.jpg,5.7,157
2506,tt33808098,Cycle Mahesh,2024,Not Available,A young worker's epic bicycle journey home and cinema's cold gaze,Suhel Banerjee,Not Available,https://m.media-amazon.com/images/M/MV5BZWFkN2NjMzUtYTAwMi00MGQ3LTk4N2EtYmZjMjM2M2VhOTg2XkEyXkFqcGc@._V1_SX300.jpg,Not Available,Not Available
2507,tt33576313,The Moon,2024,"Short, Drama","Under the glow of a full moon, a romantic and a cynic argue about its beauty. But as the banter turns heated, things become personal, deepening the mystery of their connection.",Niyantha Shekar,"Lakshvir Saran, Pranjal Vaid",https://m.media-amazon.com/images/M/MV5BYjI1ZWJkOTYtMTk3NS00YjAwLWJhOTAtN2RiZWEyZWU2ZmE4XkEyXkFqcGc@._V1_SX300.jpg,Not Available,Not Available
2508,tt2113694,Krorepati,1961,"Comedy, Crime, Drama",A movie stunt-man is recruited to impersonate a look-alike mentally unstable heir to a vast estate.,Mohan Segal,"Kishore Kumar, Shashikala Jawalkar, Kumkum",Not Available,Not Available,17
2509,tt29007294,Doga - Mumbai Ka Rakhwala,2021,"Short, Action",Not Available,Not Available,Rakesh Gupta,https://m.media-amazon.com/images/M/MV5BMzg4NGEzODktZDE0Zi00OTQ2LTgyZDItZjdkZTFjZmI4YWYyXkEyXkFqcGdeQXVyMTMyNTc2MzQ0._V1_SX300.jpg,Not Available,Not Available
2510,tt15717242,Kanjoos Makhichoos,2023,"Comedy, Drama, Family","Jamnaprasad Pandey is infamous in the entire town as a miser whose family is fed up with his penny-pinching habits. However, little does the family know that these savings is to fulfill his father's wish of going on a char-dhaam y...",Vipul Mehta,"Kunal Kemmu, Shweta Tripathi, Piyush Mishra",https://m.media-amazon.com/images/M/MV5BZGM0MTI2NjAtNjZmNC00YzQ0LTljZDgtMjdjMTMyNjUyOTUwXkEyXkFqcGdeQXVyMTU0ODI1NTA2._V1_SX300.jpg,6.6,6661
2511,tt25504278,A Cheat Day,2022,Short,"An interesting take on the modern-day concept of commitment, the short film revolves around a chance meeting between two strangers at a bar and their testy with ebbs and flows between flirtatious and moralistic conversation.",Gautam Arora,"Eisha Chopra, Rajeev Siddhartha",https://m.media-amazon.com/images/M/MV5BNWZiMzJjNDctNDE0Zi00OWUxLWJjNTYtMmYxM2M3YWYyMjE0XkEyXkFqcGc@._V1_SX300.jpg,Not Available,10
2512,tt28435822,The Signature,2024,Drama,"After 35 years of marriage, Madhu falls critically ill, leaving Arvind torn between hope and acceptance as she lies on life support.",Gajendra Vitthal Ahire,"Mahima Chaudhry, Herman Dsouza, Manoj Joshi",https://m.media-amazon.com/images/M/MV5BMDAzOGQ2ODUtYzAxNy00YjYzLTg3YWQtMjdlYzc3ZTFhM2QxXkEyXkFqcGc@._V1_SX300.jpg,6.8,300
2513,tt0956298,Jazbaat,1980,Drama,"Sapna is a poor orphan woman, who lives with an elderly lady whom she calls her aunt. She is a petty thief and is arrested on several counts of theft.",Suraj Prakash,"Raj Babbar, Zarina Wahab, Shashi Puri",https://m.media-amazon.com/images/M/MV5BMmM2ODFiMTItNDYxYi00MTQzLWE1YTYtZTllNDBhMTEwMTQ1XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,4.2,36
2514,tt0276628,Yehi Hai Zindagi,1977,"Comedy, Drama","Anand Narayan comes from a poor family, which consists of his wife, Gayetri, daughter, Kamla, and two sons Madhu and Govind. Through hard work, Anand starts on his way to success. He meets with Nekiram, who becomes his business pa...",K.S. Sethumadhavan,"Sanjeev Kumar, Utpal Dutt, David Abraham",https://m.media-amazon.com/images/M/MV5BZTZiYjU3MGItMzQ3My00NGIyLTk3OWItZWEyNTNiYzhkNTUxXkEyXkFqcGdeQXVyNDQwOTAzNw@@._V1_SX300.jpg,7.1,154
2515,tt0230133,Delhi Junction,1960,Not Available,Not Available,Mohammed Hussain,"Ajit Khan, Shakila, Pran Sikand",Not Available,Not Available,Not Available
2516,tt0091439,Love and God,1986,"Drama, Romance","Based on the ill-fated love story of Laila and Majnu, this version shows them as inseparable childhood sweethearts, and subsequently as each others lovers. They want to get married, but as their fathers' (Emir E Basra, and Emir E ...",K. Asif,"Nimmi, Sanjeev Kumar, Jayant",https://m.media-amazon.com/images/M/MV5BZWE4NDY5NjgtY2QyZC00NzM3LTkwNmQtMDk1OGVkODQ2MDcwXkEyXkFqcGdeQXVyMjQ3NjUwNTI@._V1_SX300.jpg,5.9,32
2517,tt0242301,Basant,1960,"Comedy, Drama, Romance","A runaway spoiled rich girl is helped by a man she meets on the road, but their path to love is strewn with numerous misunderstandings, false accusations, a sudden tragedy and the pursing footsteps of a persistent pickpocket.",Bibhuti Mitra,"Nutan, Shammi Kapoor, Minoo Mumtaz",https://m.media-amazon.com/images/M/MV5BMmVhN2EyZjgtOGIzYi00YTRlLWIyOWYtZTQ2ZTZhYjQ0YTg5XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,6.5,40
2518,tt7899630,Maya,2018,"Short, Drama",Not Available,Aniruddha Roy Chowdhury,"Abir Chatterjee, Padmapriya, Raju Raman",https://m.media-amazon.com/images/M/MV5BOWJiZTk5NTYtZDU1OC00ZDMyLThlMjMtNTc0MjAwZWZlYzRlXkEyXkFqcGdeQXVyMjM1MjgwNjU@._V1_SX300.jpg,8.0,11
2519,tt0072109,Sagina,1974,"Comedy, Drama, Family","Sagina a factory laborer,an aggressive, honest and lovable character who was the first to fight against the tyranny of the British bosses in the Tea gardens of North-Eastern India.",Tapan Sinha,"Dilip Kumar, Saira Banu, Aparna Sen",https://m.media-amazon.com/images/M/MV5BMTQwMzE1NjU2M15BMl5BanBnXkFtZTcwMzYwMDQzMg@@._V1_SX300.jpg,7.2,100
2520,tt6078866,Soni,2018,"Crime, Drama","While fighting crimes against women in Delhi, a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives.",Ivan Ayr,"Geetika Vidya Ohlyan, Saloni Batra, Vikas Shukla",https://m.media-amazon.com/images/M/MV5BMzlkZDVjODAtYTQxMS00NGUyLWJlMWUtYjJhZmVlZjE5OWUyXkEyXkFqcGdeQXVyNjA3NzYzNzc@._V1_SX300.jpg,7.1,2993
2521,tt8108200,Sonchiriya,2019,"Action, Crime, Drama","Set in the Chambal valley, the film follows the story of a legion of dreaded, warring dacoits who once terrorized the Indian heartlands.",Abhishek Chaubey,"Sushant Singh Rajput, Bhumi Pednekar, Ashutosh Rana",https://m.media-amazon.com/images/M/MV5BYTA1MGI1NDEtOTY2Ni00ZTQxLWEwY2EtMzIzNTQxMzY0NDg4XkEyXkFqcGc@._V1_SX300.jpg,7.9,13166
2522,tt0270880,Champion,2000,"Action, Comedy, Drama","Rajveer, an aspiring police officer is given a task to save Abbas from a cold blooded criminal Nazeer. Though Abbas and Rajveer hate each other but realizing the tragedy behind his parents death brings them closer.","Padam Kumar, Jana Sue Memel","Sunny Deol, Prasant Samadhar, Manisha Koirala",https://m.media-amazon.com/images/M/MV5BMjQ5OTBmNWYtMWI1YS00NzhkLWJkNDAtNWEzZGYzMzcxMGEzXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_SX300.jpg,4.5,635
2523,tt4365926,Nayantara's Necklace,2014,"Short, Drama, Romance","Set in Mumbai, Nayantara's Necklace explores the friendship between Alka and her new Dubai-returned neighbour Nayantara. As their friendship grows, Alka finds herself wanting to be more like Nayantara. But what Alka doesn't know i...",Jaydeep Sarkar,"Gulshan Devaiah, Konkona Sen Sharma, Tillotama Shome",https://m.media-amazon.com/images/M/MV5BY2EwM2JiNjktNjk2NS00NDIwLWE2ZTktZDE1NWE3MDMyYzlmXkEyXkFqcGdeQXVyNzU2NTM0ODk@._V1_SX300.jpg,7.0,179
2524,tt6190346,Jannat E Milan,2018,Musical,"Jannat e Milan is a Hindi movie starring Rishabh Vaidya and Shakshi Diwedi in prominent roles. The cast also includes Ajay Azad Singh, Atul (Andy), Udit Kaushik and Raghav . It is a musical drama movie directed by Shekhar Ujjanwal...",Shekhar Ujjainwal,"Rishabh Vaidya, Shakshi Diwedi, Ajay Azad Singh",https://m.media-amazon.com/images/M/MV5BOGUwODQyMDQtZWVmOC00YzM5LTk4YmQtZDNlODM2YzkzYzhmXkEyXkFqcGdeQXVyNjM2MTcyNzc@._V1_SX300.jpg,2.8,11
2525,tt0206554,Anpadh,1962,"Drama, Musical, Romance","A wealthy, pampered and illiterate woman faces many challenges after her marriage.",Mohan Kumar,"Mala Sinha, Balraj Sahni, Dharmendra",https://m.media-amazon.com/images/M/MV5BYzM5OTJmYTEtYjc5Zi00ZDZmLTg3MWYtNjM2M2ZmMmM0OGZiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,6.7,129
2526,tt0392826,Tarana,1979,"Musical, Romance",Wealthy Shyam falls in love with poor Rani. They decide to get married but apposed by parents.,Deepak Bahry,"Mithun Chakraborty, Ranjeeta Kaur, Bhagwan Palav",https://m.media-amazon.com/images/M/MV5BNzg5YTEwNWUtZmMzNS00ZGMzLThjZDMtZmY4NDY0ZjI1YWNmXkEyXkFqcGdeQXVyMTUxODIyNzk@._V1_SX300.jpg,6.9,55
2527,tt0213544,Chacha Bhatija,1977,"Action, Comedy, Drama","Teja's family consists of himself, his wife, Sita, his brother, Shanker, and a son, Sunder. They all live happily. Things take a turn for the worse, when Sita passes away. Teja decides to re-marry, and he does so with Sonia, who c...",Manmohan Desai,"Dharmendra, Hema Malini, Randhir Kapoor",https://m.media-amazon.com/images/M/MV5BZDVhMjYzOTAtOWY3My00YThmLWI1NjUtYzQ2NzJhZmE1ZDEyXkEyXkFqcGc@._V1_SX300.jpg,6.0,277
2528,tt0439754,Pyaar Mein Twist,2005,"Comedy, Drama, Musical","With their respective children's' marriages about to take place, two middle-aged single parents fall in love.",Hriday Shetty,"Rishi Kapoor, Dimple Kapadia, Vikas Bhalla",https://m.media-amazon.com/images/M/MV5BMjUwOTE4OTgxMV5BMl5BanBnXkFtZTcwNjI2ODgzMQ@@._V1_SX300.jpg,5.5,207
2529,tt0156290,Anubhav,1971,Drama,"Meeta Sen (Tanuja) and Amar Sen (Sanjeev Kumar) have been married for several years. Due to Amar's hectic work schedule, the couple have not had children, as there was no time for intimacy. Meeta decides to take matters into her o...",Basu Bhattacharya,"Sanjeev Kumar, Tanuja Samarth, Dinesh Thakur",https://m.media-amazon.com/images/M/MV5BY2M1ZmVlMWQtMmFhOS00YjI5LTk1ODEtOTI2NTA2OTMwZTYzXkEyXkFqcGc@._V1_SX300.jpg,7.5,198
2530,tt3524410,Yeh Hai Bakrapur,2014,"Comedy, Drama","Set an against the backdrop of rural India this social satire dwells on the relationship between 8year old Zulfi Quereshi, his pet goat ShahRukh and the village barber(Anshuman Jha)",Janaki Vishwanathan,"Anshuman Jha, Suruchi Aulakh, Asif Basra",https://m.media-amazon.com/images/M/MV5BN2QxOGVmZTgtMjNlZC00NDU5LWJlNGYtZmIxNGNiZDlkNGUyXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,3.9,320
2531,tt0447890,Chaahat Ek Nasha...,2005,"Drama, Romance, Thriller","Rashmi lives a wealthy lifestyle in India along with her widower dad, Dr. Sanjeev Jaitly. She aspires to be a singer and dancer, and is encouraged by her friends and dad to take this up as a profession. She prepares her portfolio ...","Surya Prakash, Jayprakkash Shaw","Aryan Vaid, Manisha Koirala, Preeti Jhangiani",https://m.media-amazon.com/images/M/MV5BMjE2OTk1MDU1OF5BMl5BanBnXkFtZTgwMDc0MDA2MDE@._V1_SX300.jpg,4.0,90
2532,tt0287111,Wajood,1998,"Action, Crime, Drama","This story revolves around Malhar Gopaldas Agnihotri, a out-of-work actor, poor, and dependent on his father, who is heading for retirement. Malhar knows that he can act, very well indeed, all he needs is some encouragement, and s...",N. Chandra,"Nana Patekar, Madhuri Dixit, Mukul Dev",https://m.media-amazon.com/images/M/MV5BOWU4N2E3MmItYjFmMi00MzE3LTg0ZTEtNjk1ZGQ3ODcwMWMzXkEyXkFqcGc@._V1_SX300.jpg,7.0,807
2533,tt0102119,Indrajeet,1991,"Action, Drama","To continue suppressing the workers in his company, multi-millionaire Din Dayal gets a union leader and his wife murdered. When inspector Indrajeet attempts to arrest Dayal, his daughter Shanti intervenes. This angers Indrajeet be...",K.V. Raju,"Amitabh Bachchan, Jaya Prada, Kumar Gaurav",https://m.media-amazon.com/images/M/MV5BM2ExZTFlZTQtMDM4YS00MTcyLTg1OWQtZWVjNTllZjVlYTAzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,4.3,307
2534,tt0246687,Hu Tu Tu,1999,Drama,"Panna is the only daughter of politician Maltidevi. Panna is very critical of her mother, when she decides to separate from her dad, and asked Chief Minister Sawantrao Gadre to move in with them, for political reasons. Sawantrao h...",Gulzar,"Nana Patekar, Suniel Shetty, Tabu",https://m.media-amazon.com/images/M/MV5BODg1MDQ0MjI0MF5BMl5BanBnXkFtZTgwMzc1NDgyNjE@._V1_SX300.jpg,6.5,527
2535,tt3565354,Karar: The Deal,2014,Thriller,"Nikita, the granddaughter of a rich and old man, is asthmatic and resides in South Africa. While her family is just about her Dadaji and their care taker Annie, their life changes when Dr. Aryan enters.",Sabir,"Mahek Chahal, Tarun Arora, Shashi Wadia",https://m.media-amazon.com/images/M/MV5BZmFkYzY1MTgtNWNkZi00ZWQyLWI5MDMtYWZjOTllZmZhNTliXkEyXkFqcGc@._V1_SX300.jpg,4.2,75
2536,tt0233220,Anjaana,1969,Romance,"Raju lives with his widowed mother, Janki, in a small town and works as garage mechanic. One day he meets with wealthy Rachna Malhotra, and after a few misunderstandings, both fall in love with each other. When Rachna's guardian, ...",Mohan Kumar,"Rajendra Kumar Tuli, Babita Kapoor, Pran Sikand",https://m.media-amazon.com/images/M/MV5BNTA3ZTY2ZDgtNjdiNy00ZWVkLWI0MTctOTc2NDBiZDJjZWU2XkEyXkFqcGdeQXVyNTYxMDUyNTQ@._V1_SX300.jpg,5.8,62
2537,tt0262717,Katilon Ke Kaatil,1981,"Action, Comedy, Drama","A wealthy woman faces trauma when her husband is killed, and both her young sons abducted. She spends years looking for them, until one day she comes across a young man named Munna, who is wearing a family heirloom around his neck...","Anil Hingorani, Arjun Hingorani","Dharmendra, Rishi Kapoor, Zeenat Aman",https://m.media-amazon.com/images/M/MV5BNzY3ZTY2NTQtNGJmOS00OWMwLWIwOGItNGU4NjBiNmIzNGEyXkEyXkFqcGc@._V1_SX300.jpg,6.1,131
2538,tt0383875,Andhaa Yudh,1988,"Drama, Thriller",Raja assassinates a minister. He takes shelter in a house and takes a hostage.,Dayal Nihalani,"Raj Babbar, Ajay Chadha, Vyjayanti Chavan",https://m.media-amazon.com/images/M/MV5BZTg4ZmU5MGEtNTRmZC00ZTgwLWEwMGUtNTY5OThmNjRjZTBiXkEyXkFqcGc@._V1_SX300.jpg,7.4,94
2539,tt0155073,Pyar Ka Karz,1990,Drama,"Bombay-based Dr. Naina meets with musician and singer, Ravi Shankar, and both fall in love with each other. When Ravi returns from a concert in Delhi, he finds Naina getting married to Shekhar alias Shaka, an ex-convict. Heartbrok...",K. Bapaiah,"Dharmendra, Meenakshi Sheshadri, Mithun Chakraborty",https://m.media-amazon.com/images/M/MV5BZTZiOTA3MDEtNTI5NS00Y2Y3LTg1MWYtMzk2NmYwMmJjZTgxXkEyXkFqcGdeQXVyOTAyNDkxODQ@._V1_SX300.jpg,6.8,40
2540,tt3290688,Revolver Rani,2014,"Action, Comedy, Crime","Alka Singh, the leader of a political party, and her obsessive love for Rohan Mehra, a rising star of Bollywood.",Sai Kabir,"Kangana Ranaut, Vir Das, Sukhita Aiyar",https://m.media-amazon.com/images/M/MV5BOGJlNDljNTEtNjgwZC00YWVjLThmODItZjkzZmJkMjQ3YTA2XkEyXkFqcGc@._V1_SX300.jpg,4.6,2012
2541,tt0215907,Kitaab,1977,Drama,"A young boy lives with his sister away from his mother to study in school. However, he is neither fond of the school nor his new home and decides to run away to be with his mother.",Gulzar,"Uttam Kumar, Vidya Sinha, Shreeram Lagoo",https://m.media-amazon.com/images/M/MV5BMmZjNDhkYmYtMjk5Yy00ODFkLWIzMmMtYWZiNzE3N2M1YTYyXkEyXkFqcGc@._V1_SX300.jpg,7.8,265
2542,tt0061072,Teesri Kasam,1966,"Comedy, Drama, Romance",A naive bullock-cart driver falls for a traveling courtesan.,Basu Bhattacharya,"Raj Kapoor, Waheeda Rehman, Dulari",https://m.media-amazon.com/images/M/MV5BZWJkZWNjNjItNjg3MC00YmI2LWI3NzEtMmMwMDIwODg5NzM3XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,7.9,861
2543,tt0411815,Run,2004,"Action, Comedy, Drama","This action movie is filled with romance and adventure. As Abhisek fights for his life against the forces of crime and injustice, he meets Bhoomika, who captures his heart.",Jeeva,"Abhishek Bachchan, Bhoomika Chawla, Mahesh Manjrekar",https://m.media-amazon.com/images/M/MV5BOTEwNDY1M2UtNzIzOS00MDU5LTkwOWYtMTcyNjY2YWRjM2QzXkEyXkFqcGc@._V1_SX300.jpg,5.0,1520
2544,tt0137341,Ab Dilli Dur Nahin,1957,Drama,"The year is 1951, India is a free country, and Hariram lives a poor lifestyle along with his wife, Bela, and a young son, Rattan. He is in debt, but continues to borrow money so that he could provide a better life for his family. ...",Amar Kumar,"Master Romi, Sulochana Latkar, Lala Yaqoob",https://m.media-amazon.com/images/M/MV5BMDFmMmJiMGItMDA1Ny00NzNhLWJiMzktYjlkN2FhNWNkODUyXkEyXkFqcGc@._V1_SX300.jpg,7.9,91
2545,tt0247394,Gumnaam,1965,"Drama, Mystery, Thriller","Eight people are stranded on an island. They reach a mansion where a butler is awaiting them. Then an unknown, vengeful person starts killing them, one by one.",Raja Nawathe,"Nanda Karnataki, Manoj Kumar, Pran Sikand",https://m.media-amazon.com/images/M/MV5BMTk5NjA0MTcxMl5BMl5BanBnXkFtZTcwNDc2ODgzMQ@@._V1_SX300.jpg,6.9,1682
2546,tt0369516,Hawa,2003,"Drama, Horror, Thriller","Sanjana lives in a big city along with her husband and two daughters. But things are not quite rosy as the couple faces a disastrous situation in there life which leads to divorce. Sanjana along with her brother, Vicky, her two da...",Guddu Dhanoa,"Tabu, Shahbaaz Khan, Mukesh Tiwari",https://m.media-amazon.com/images/M/MV5BOGZjNGRkODItNWI0ZS00YmFjLTlmZGEtY2RiM2VlZTMzYzYwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,3.3,368
2547,tt36129120,Aachari Baa,2025,Drama,"An elderly Gujarati grandmother reconnects with her family through her cherished pickle-making tradition, bringing warmth and flavor to her community.",Hardik Gajjar,"Apoorva Arora, Kabir Bedi, Shah Bhavya",https://m.media-amazon.com/images/M/MV5BMTI5OWI4NmQtYjQxNS00ODU5LTlhNzMtOWM1MTczNTUxZDE4XkEyXkFqcGc@._V1_SX300.jpg,7.3,91
2548,tt31115432,Bloody Ishq,2024,Horror,"After a memory-erasing accident, Neha seeks refuge on a secluded Scottish island, unaware her husband conceals a terrifying secret that threatens their new life.","Vikram Bhatt, Manish .P. Chavan","Avika Gor, Vardhaan Puri, Jeniffer Piccinato",https://m.media-amazon.com/images/M/MV5BMTJiNTdlYTgtOGM5OC00OTYzLWFjMmQtZjQzMTNmNTVlNzQ1XkEyXkFqcGc@._V1_SX300.jpg,3.0,2140
2549,tt13795296,Thank God,2022,"Comedy, Fantasy","An egoistic real estate broker in huge debts, meets with an accident.God appears in front of him and informs him that he will have to play a ""GAME OF LIFE"". If he win, he will be sent back to earth and if not, he will be sent to h...",Indra Kumar,"Sidharth Malhotra, Ajay Devgn, Rakul Preet Singh",https://m.media-amazon.com/images/M/MV5BYTBmNTgxMTEtZWY1Ny00MTJmLTlhYmQtOGRhZGZhN2QzYzliXkEyXkFqcGc@._V1_SX300.jpg,5.6,12538
2550,tt0155088,Rajput,1982,"Action, Drama, Romance","Unable to handle the taking of his kingdom by an Indian Government decree, the Maharaja kills himself. His son, Jaipal, takes over as the Maharaja, turns rebel, and refuses to hand over his title and kingdom to the Government. It ...",Vijay Anand,"Rajesh Khanna, Dharmendra, Hema Malini",https://m.media-amazon.com/images/M/MV5BZGYwOTBjYzUtOWQxNC00Y2Y5LWFhYTktMGI2YWQwMWJhMGFmXkEyXkFqcGdeQXVyMjU4NDY1ODA@._V1_SX300.jpg,6.4,211
2551,tt0260222,Naseeb Apna Apna,1986,"Comedy, Drama","A domineering man marries his son to a simple village girl. But when she arrives at his house in the city, she discovers that he is already married to an attractive city woman.",Rama Rao Tatineni,"Rishi Kapoor, Farha Naaz, Radhika Sarathkumar",https://m.media-amazon.com/images/M/MV5BMmJhNmUxM2QtYjI2OS00YjBkLTlmMDMtNzNmMmIzMmFlYWIyXkEyXkFqcGc@._V1_SX300.jpg,5.5,223
2552,tt0266333,Biwi-O-Biwi,1981,"Comedy, Romance","Singer Chandermohan is born in a well-off family and is the only child. Since he is of marriageable age, both he and his parents want him to get married. But since he was born with a strong &amp; adverse influence of Mars (Mangalik) d...",Rahul Rawail,"Sanjeev Kumar, Randhir Kapoor, Poonam Dhillon",https://m.media-amazon.com/images/M/MV5BODc1MGExZTQtMDYwZC00YjdlLWFjMjMtZWEyYjQxMjBjM2YxXkEyXkFqcGc@._V1_SX300.jpg,7.2,244
2553,tt0265690,Samraat,1982,"Action, Adventure, Comedy","Captain Chawla has been employed for years with a cargo shipping company run by Ranbir. While celebrating the new year, Chawla hears gunshots and goes below to investigate. He finds out that one of his officers, Gomes, has shot an...",Mohan Segal,"Dharmendra, Jeetendra, Hema Malini",https://m.media-amazon.com/images/M/MV5BM2QxM2NlY2MtOTg0My00ZjhhLWIyYWYtZTlkNDEwZDU2N2JjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,6.0,176
2554,tt1202344,Ab... Bas!,2004,"Crime, Drama, Romance","Somiya Mathur lives a middle-class lifestyle with her dad and mom in Mumbai. At the age of five her parents go through a bitter divorce and she moves out to live with her mom. After she matures, her mom passes away, and she swears...",Rajesh Kumar Singh,"Chetanya Adib, Shawar Ali, Arun Bakshi",https://m.media-amazon.com/images/M/MV5BMjQ3NjE0ODItZmNjNC00ZTE0LTkzMmUtZGU2N2NmNjRmNDhlXkEyXkFqcGdeQXVyNjQ2MjQ4MzQ@._V1_SX300.jpg,3.2,94
